ficherocarp

VEHICLE
NUMBER     CAPACITY
  3         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   NUMADYACENTES     ADYACENTES         DEMANDADELARCO
 
    0      16          0       5                51 52 53 54 55     10 10 10 10 10
    1       0         25       1                5                  10
    2       6         25       1                7                  10
    3      15         25       1                12                 10
    4      22         25       1                14                 10
    5       0         21       2                1 6                10 10
    6       1         21       3                5 7 15             10 10 10
    7       6         21       4                2 6 9 17           10 10 10 10
    8      11         23       1                9                  10
    9      11         21       3                7 8 24             10 10 10
   10      13         22       1                11                 10
   11      13         21       3                10 12 19           10 10 10
   12      15         21       3                3 11 56            10 10 10
   13      18         22       2                14 56              10 10
   14      22         22       3                4 13 35            10 10 10
   15       1         16       2                6 23               10 10
   16       3         18       1                17                 10
   17       6         18       3                7 16 18            10 10 10
   18       9         18       1                18                 10
   19      13         19       1                11                 10
   20      15         18       2                21 26              10 10
   21      18         18       3                20 34 56           10 10 10
   22       1         14       1                27                 10
   23       6         16       2                15 30              10 10
   24      11         16       3                9 25 26            10 10 10
   25      11         13       1                24                 10
   26      15         16       3                20 24 32           10 10 10
   27       1         10       3                22 29 37           10 10 10
   28       4         12       2                29 30              10 10
   29       4         10       2                27 28              10 10
   30       6         12       4                23 28 31 38        10 10 10 10
   31       9         12       3                30 32 40           10 10 10
   32      15         12       2                26 31              10 10
   33      16         11       1                43                 10
   34      18         11       2                21 35              10 10
   35      22         11       3                14 34 44           10 10 10
   36       0          7       2                37 45              10 10
   37       1          7       3                27 36 38           10 10 10
   38       6          7       3                30 37 47           10 10 10
   39       8          6       2                42 53              10 10
   40       9          9       2                31 41              10 10
   41      13          9       2                40 42              10 10
   42      13          6       2                39 41              10 10
   43      16          8       2                33 44              10 10
   44      22          8       3                35 43 50           10 10 10
   45       0          4       2                36 46              10 10
   46       3          4       3                45 47 51           10 10 10
   47       6          4       3                38 46 52           10 10 10
   48      11          3       1                49                 10
   49      17          3       3                48 50 54           10 10 10
   50      22          3       3                44 49 55           10 10 10
   51       3          0       6                0 46 52 53 54 55   10 10 10 10 10 10
   52       6          0       6                0 47 51 53 54 55   10 10 10 10 10 10
   53       8          0       6                0 39 51 52 54 55   10 10 10 10 10 10
   54      17          0       6                0 49 51 52 53 55   10 10 10 10 10 10
   55      22          0       6                0 50 51 52 53 54   10 10 10 10 10 10
   56      18         21       3                12 13 21           10 10 10
